Plataforma,Conteúdo do artigo,Ferramentas indicadas,Itens de interesse,Desafios ,ID,Título
MEDIUM,"Discussões gerais sobre acessibilidade, Indicação de ferramenta","Accessibility Statement, W3C Accessibility Statement Generator, Siteimprove, GOV.UK accessibility statement guidance, Accessibility Checker (Equalize Digital)","Processo ou metodologia, Ferramenta de inspeção/avaliação","Entendimento das diretrizes, Atender às diferentes necessidades do público",11,How to Create an Accessibility Statement
MEDIUM,"Discussões gerais sobre acessibilidade, Indicação de ferramenta, Relato de experiência com o uso de ferramenta","Reusable Accessibility Components (Bottom-up approach), Centralised Translation Service, Extended Accessibility Features, Accessibility Inspector, User Testing + Multi-device Testing","Ferramenta de inspeção/avaliação, Ferramenta de apoio ao desenvolvimento","Entendimento das diretrizes, Atender às diferentes necessidades do público",12,Empowering All Users: The Accessibility Revolution in Tech
MEDIUM,"Discussões gerais sobre acessibilidade, Indicação de ferramenta","WAVE, AXE, WCAG 2.1, Lighthouse, Accessible Design Principles (POUR), Manual Testing + Assistive Technologies","Processo ou metodologia, Ferramenta de inspeção/avaliação, Ferramenta de apoio ao desenvolvimento","Entendimento das diretrizes, Atender às diferentes necessidades do público",13,Designing for Everyone: A UI/UX Guide to Accessible Experiences
MEDIUM,"Indicação de ferramenta, Relato de experiência com o uso de ferramenta","PageSpeed Insights, Axe DevTools, Accessible Design Principles (POUR), Lighthouse, AccessiBe","Processo ou metodologia, Ferramenta de inspeção/avaliação, Ferramenta de apoio ao desenvolvimento","Entendimento das diretrizes, Atender às diferentes necessidades do público",14,Accessibility Evaluation for Programiz Pro— a Code Learning Platform
MEDIUM,"Indicação de ferramenta, Relato de experiência com o uso de ferramenta","Color Contrast Checker (Coolors), Axe for Designers (Figma Plugin), Contrast (Figma Plugin), Axe Lint, Lighthouse, Axe DevTools","Ferramenta de inspeção/avaliação, Ferramenta de apoio ao desenvolvimento",Entendimento das diretrizes,15,Accessibility tools for dummy devs
MEDIUM,"Discussões gerais sobre acessibilidade, Indicação de ferramenta","Accessible Design Principles (POUR), WebAIM Contrast Checker, WAVE, Axe DevTools, Lighthouse, User Testing","Ferramenta de inspeção/avaliação, Processo ou metodologia, Ferramenta de apoio ao desenvolvimento","Entendimento das diretrizes, Atender às diferentes necessidades do público",16,Accessibility in Design: How to Make Your Designs More Accessible
MEDIUM,"Discussões gerais sobre acessibilidade, Indicação de ferramenta","Accessible Design Principles (POUR), WAVE, Deque AXE Coconut, Pa11y, Tenon.io,  Lighthouse, Axe DevTools","Ferramenta de inspeção/avaliação, Processo ou metodologia, Ferramenta de apoio ao desenvolvimento","Entendimento das diretrizes, Atender às diferentes necessidades do público",17,Accessibility Testing: Respecting the difference
MEDIUM,"Discussões gerais sobre acessibilidade, Indicação de ferramenta","WAVE, Siteimprove, NVDA, AccessiBe, Deque WorldSpace, Axe DevTools","Ferramenta de inspeção/avaliação, Processo ou metodologia, Ferramenta de apoio ao desenvolvimento","Entendimento das diretrizes, Atender às diferentes necessidades do público",18,The Symbiosis of Accessibility Testing Tools and SEO
MEDIUM,"Discussões gerais sobre acessibilidade, Indicação de ferramenta, Relato de experiência com o uso de ferramenta","WAVE, Axe DevTools, Accessible Design Practices, Accessibility Insights Microsoft, Lighthouse","Ferramenta de inspeção/avaliação, Processo ou metodologia","Entendimento das diretrizes, Atender às diferentes necessidades do público",19,"Accessibility, creating a step-free route"
MEDIUM,Indicação de ferramenta,Axe DevTools Pro,"Ferramenta de inspeção/avaliação, Ferramenta de apoio ao desenvolvimento",Entendimento das diretrizes,20,axe DevTools Pro
MEDIUM,"Discussões gerais sobre acessibilidade, Indicação de ferramenta","A11Y Project Checklist, U.S. Web Design System, GOV.UK Design System, W3C Web Accessibility Initiative (WAI) Resources, Web Content Accessibility Guidelines (WCAG), A11Y Color Contrast Checker, PageSpeed Insights, WebAIM Contrast Checker, WAVE, Contrast (Figma Plugin), Coolors, Stark , Axe Accessibility Checker, Accessible Design Practices, Dopely colors, Stark Plugin, MDN Web Docs Accessibility, HTML5 Accessibility, WebAIM’s CSS Resources","Ferramenta de inspeção/avaliação, Processo ou metodologia, Ferramenta de apoio ao desenvolvimento","Entendimento das diretrizes, Atender às diferentes necessidades do público, Convencimento da equipe, Custo de implementação",21,Embracing Accessibility in UX Design: Beyond Compliance to Inclusion
MEDIUM,"Discussões gerais sobre acessibilidade, Indicação de ferramenta","Web Content Accessibility Guidelines (WCAG), Lighthouse, Color Contrast Analyzer, WebAIM Contrast Checker","Ferramenta de inspeção/avaliação, Processo ou metodologia","Entendimento das diretrizes, Atender às diferentes necessidades do público, Convencimento da equipe",22,Crafting Digital Inclusivity: A Journey into WCAG Standards
MEDIUM,"Indicação de ferramenta, Relato de experiência com o uso de ferramenta","axe-core, Pa11y, HTML CodeSniffer (HTMLCS)","Ferramenta de inspeção/avaliação, Ferramenta de apoio ao desenvolvimento",Entendimento das diretrizes,23,Combining axe-core and PA11Y
MEDIUM,"Indicação de ferramenta, Relato de experiência com o uso de ferramenta","WAVE, Lighthouse, Axe DevTools","Ferramenta de inspeção/avaliação, Ferramenta de apoio ao desenvolvimento",Entendimento das diretrizes,24,12 Google extensions that every developer needs
MEDIUM,"Discussões gerais sobre acessibilidade, Indicação de ferramenta, Relato de experiência com o uso de ferramenta","WordPress Accessibility Improvements, Keyboard Accessibility, Accessible Media Implementation, Yoast SEO, Google Text-to-Speech Extension","Ferramenta de inspeção/avaliação, Ferramenta de apoio ao desenvolvimento","Entendimento das diretrizes, Atender às diferentes necessidades do público",25,Empowering Inclusivity: Enhancing Accessibility on a WordPress Website
MEDIUM,"Discussões gerais sobre acessibilidade, Indicação de ferramenta",Stark Plugin,"Ferramenta de inspeção/avaliação, Ferramenta de apoio ao desenvolvimento","Entendimento das diretrizes, Atender às diferentes necessidades do público, Convencimento da equipe, Custo de implementação",26,Enhancing User Experience with Stark Accessibility Tools
MEDIUM,"Discussões gerais sobre acessibilidade, Indicação de ferramenta","Accessible Design Principles (POUR), Web Content Accessibility Guidelines (WCAG)",Processo ou metodologia,"Entendimento das diretrizes, Atender às diferentes necessidades do público, Convencimento da equipe, Custo de implementação",27,Designing for inclusion
MEDIUM,Discussões gerais sobre acessibilidade,Accessible Design Principles (POUR),Processo ou metodologia,"Entendimento das diretrizes, Atender às diferentes necessidades do público",28,"POUR…Yes, that's what I want to talk about next!"
MEDIUM,"Discussões gerais sobre acessibilidade, Indicação de ferramenta","KeyboardTester, VoiceOver, ChromeVox, WAVE, NVDA, GNOME Orca,  Web Content Accessibility Guidelines (WCAG), Deque, Deque Keyboard Guided Tests",Ferramenta de inspeção/avaliação,"Entendimento das diretrizes, Atender às diferentes necessidades do público, Convencimento da equipe, Custo de implementação",29,Accessibility Quick Start Guide
MEDIUM,"Discussões gerais sobre acessibilidade, Indicação de ferramenta","ARIA-labels, Web Accessibility Checklist, Access Guide, W3C Quick Ref:, WebAIM’s WCAG 2 Checklist:, HTML Semântico / Estados de Foco / Rótulos (Labels), a11yTools, WCAG 2.1, The A11y Project, Stark Plugin, AXE","Ferramenta de inspeção/avaliação, Processo ou metodologia","Entendimento das diretrizes, Atender às diferentes necessidades do público, Convencimento da equipe, Custo de implementação",30,Accessibility Basics — The internet is for everyone part 3
MEDIUM,"Indicação de ferramenta, Relato de experiência com o uso de ferramenta","WAVE, Axe-core, Lighthouse, Monsido, SiteImprove, Silktide, CrownPeak, Auditorias e Remediação Manual (Metodologia)",Ferramenta de inspeção/avaliação,"Entendimento das diretrizes, Custo de implementação",31,Paying For Automated Website Accessibility Scans Doesn’t Make Sense
MEDIUM,"Discussões gerais sobre acessibilidade, Indicação de ferramenta","Axe DevTools, JAWS Screen Reader, Web Content Accessibility Guidelines (WCAG), HTML Semântico / Estados de Foco / Rótulos (Labels)",Ferramenta de inspeção/avaliação,"Entendimento das diretrizes, Atender às diferentes necessidades do público",32,Web Accessibility
MEDIUM,"Indicação de ferramenta, Relato de experiência com o uso de ferramenta","Web Developer by Chris, Grammarly, Clipboard History Pro, Accessible Color Picker by Level Access, WAVE, Axe DevTools","Ferramenta de inspeção/avaliação, Processo ou metodologia, Ferramenta de apoio ao desenvolvimento",Entendimento das diretrizes,33,The best accessibility chrome extensions
MEDIUM,"Indicação de ferramenta, Relato de experiência com o uso de ferramenta","Accessibility Insights Microsoft, Web Developer by Chris",Ferramenta de inspeção/avaliação,Entendimento das diretrizes,34,Testing web accessibility: Reflow efficiently
MEDIUM,"Discussões gerais sobre acessibilidade, Indicação de ferramenta, Relato de experiência com o uso de ferramenta","""Color contrast checker, analyzer and color suggestions"", Color Blind (Plugin), Cluse (Plugin), Able (Plugin), BDA Style Guide (British Dyslexia Association), Who can use, Toptal Color Blind Filter, Color Oracle, Contrast for UI, Randoma11y, Color Tool (Material Design), Hex Naw, Colour Contrast Analyser (CCA) - Vispero, Deque Color Contrast Analyzer, Contraste, Contrast Grid, Tanaguru Contrast-Finder, Contrast Checker , Colorable, Cloudflare Design Color tool, ACG (Accessible Color Generator), DVCP (Data Viz Color Picker), ColorSafe, Accessible color palette builder, WebAIM Contrast Checker, Stark Plugin, Accessible Brand Colors, Colors that look and work great for everyone, Colors - A nicer color palette for the web, Web Developer Toolbar por Chris Pederick","Ferramenta de inspeção/avaliação, Ferramenta de apoio ao desenvolvimento","Entendimento das diretrizes, Atender às diferentes necessidades do público, Convencimento da equipe, Custo de implementação",35,Accessibility tools and tips for Designers
MEDIUM,"Discussões gerais sobre acessibilidade, Indicação de ferramenta","Accessible Design Principles (POUR), Instant Eyedropper, WebAIM Contrast Checker, Temi, Word , Box","Ferramenta de inspeção/avaliação, Processo ou metodologia","Entendimento das diretrizes, Atender às diferentes necessidades do público",36,Three methods to make content accessible
MEDIUM,"Discussões gerais sobre acessibilidade, Relato de experiência com o uso de ferramenta",Árvore de acessibilidade,Processo ou metodologia,"Entendimento das diretrizes, Atender às diferentes necessidades do público, Custo de implementação",37,The accessibility tree: understanding and debugging
MEDIUM,"Discussões gerais sobre acessibilidade, Indicação de ferramenta","web Wix, JAWS Screen Reader, Dolphin screen reader, NVDA, ChromeVox, Orca, VoiceOver, Narrator, TalkBack",Ferramenta de inspeção/avaliação,"Entendimento das diretrizes, Atender às diferentes necessidades do público, Convencimento da equipe",38,Accessibility Tools and GAAD
MEDIUM,"Discussões gerais sobre acessibilidade, Indicação de ferramenta","NVDA, Axe DevTools, MDN Docs, Lighthouse, A11y (Accessibility) - Guideline",Ferramenta de inspeção/avaliação,"Entendimento das diretrizes, Atender às diferentes necessidades do público",39,Improve your application accessibility with these amazing tools and tips
MEDIUM,"Discussões gerais sobre acessibilidade, Indicação de ferramenta, Relato de experiência com o uso de ferramenta",Práticas de design de aplicativos IOS acessíveis (Metodologia),Processo ou metodologia,"Entendimento das diretrizes, Atender às diferentes necessidades do público, Convencimento da equipe, Custo de implementação",40,Leveraging Accessibility design in iOS development.
MEDIUM,"Indicação de ferramenta, Análise do mercado de ferramentas de acessibilidade, Relato de experiência com o uso de ferramenta","WAVE, Tenon, Lighthouse, Axe DevTools, SiteImprove",Ferramenta de inspeção/avaliação,"Entendimento das diretrizes, Custo de implementação",41,What Are Some of the Best Web Accessibility Testing Tools to Evaluate Your Website With?
MEDIUM,"Discussões gerais sobre acessibilidade, Indicação de ferramenta, Relato de experiência com o uso de ferramenta","Tenon, JAWS Screen Reader, IBM Content Clarifier",Ferramenta de inspeção/avaliação,"Entendimento das diretrizes, Atender às diferentes necessidades do público, Custo de implementação",42,Making the Web More Accessible Using Machine Learning
MEDIUM,"Discussões gerais sobre acessibilidade, Indicação de ferramenta, Relato de experiência com o uso de ferramenta","Práticas para melhorar a acessibilidade, Contrast Ratio, Color Tool (Material Design), Colorblind Web Page Filter , Coblis - Color Blindness Simulator, Color Oracle, JAWS Screen Reader, Chrome Vox, NVDA, Projeto DOSVOX","Ferramenta de inspeção/avaliação, Processo ou metodologia","Entendimento das diretrizes, Atender às diferentes necessidades do público",43,Web acessibilidade — ferramentas
