ID ARTIGO,Recurso,Categoria,link plataforma,Tipo de Sistema,Problema de Acessibilidade,Custo,Automatizado,Tecnologias Compatíveis,Relatos com relação a eficácia,Limitações,Público,Serve para projetos pequenos ou grandes Empresas?,Necessita treinamento?,Tempo que o profissinal usou a ferramenta
5,SiteImprove,"teste, validação",,WEB,"conformidade WCAG 2.1 A, AA e AAA, acessibilidade em PDFs",pago,parcialmente,"Chrome, Selenium, Cypress","""É ótimo para equipes grandes porque o painel mostra exatamente qual departamento é responsável pelo conteúdo que precisa de correção."" ""A extensão do navegador economiza muito tempo ao verificar páginas pontualmente sem precisar esperar pelo relatório completo de rastreamento."" ""Combinar dados de acessibilidade com métricas de SEO e qualidade ajuda a justificar o orçamento para as partes interessadas que se preocupam com o desempenho geral do site.""","""Platform can feel very heavy and complex if you just want to check few pages quickly. It’s generally one of the more expensive options, which makes it hard to justify for smaller teams or individual projects"" A plataforma pode parecer muito pesada e complexa se você quiser apenas verificar algumas páginas rapidamente. Geralmente é uma das opções mais caras, o que torna difícil justificá-la para equipes menores ou projetos individuais.""",Equipe,Empresas,não informado,não informado
5,BrowserStack Accessibility Testing,"teste, validação",,"WEB, mobile","contraste de cor, alt text, navegação por teclado, leitores de tela (VoiceOver e TalkBack), relatórios com um clique geram relatórios de conformidade detalhados",não informado,parcialmente,não especificado,"""A detecção por IA é um divisor de águas para identificar erros humanos que os mecanismos de regras automatizados geralmente ignoram, economizando horas de revisão manual."" ""Testar em dispositivos reais oferece 100% de certeza de que o usuário do leitor de tela poderá usar seu aplicativo, ao contrário de emuladores ou simuladores, que podem ser instáveis."" ""Ter todos os seus dados de acessibilidade no mesmo local que seus testes funcionais torna o fluxo de trabalho mais fluido e organizado."""," ""Reports are clean but some users may need more depth in some areas. Since it’s full professional platform, there’s small learning curve.""
""Os relatórios são limpos, mas alguns usuários podem precisar de mais profundidade em algumas áreas. Por ser uma plataforma profissional completa, há uma pequena curva de aprendizado.""",não informado,não informa,"Por se tratar de uma plataforma totalmente profissional, a curva de aprendizado é pequena.",não informado
5,AccessiBe,validação,,WEB,Ela utiliza um widget de sobreposição que você instala em seu site para ajustar instantaneamente a interface para usuários com diferentes deficiências. [...] aplica automaticamente correções para otimização de leitores de tela e navegação por teclado. [...]  monitoramento diário de conformidade [...] Suporte Jurídico [...] oferece uma auditoria gratuita e instantânea,não informado,sim,CMS,"""A configuração é rápida, basta adicionar uma linha de código e o widget aparece imediatamente."" ""As opções de interface do usuário são muito úteis para visitantes com deficiência visual que precisam personalizar a visualização."" ""Para proprietários sem conhecimentos técnicos, as verificações diárias automatizadas proporcionam uma sensação de segurança sem a necessidade de contratar um desenvolvedor.""","""Overlay approach doesn’t fix underlying code, which means core site might still be broken for some users. Many accessibility experts argue that relying solely on overlay is not substitute for true & code-level accessibility.""  ""A abordagem de sobreposição (overlay) não corrige o código subjacente, o que significa que o site principal ainda pode estar quebrado para alguns usuários. Muitos especialistas em acessibilidade argumentam que confiar apenas em sobreposição não substitui a acessibilidade real e em nível de código.""",Equipe,Empresas,A configuração é rápida,não informado
5,EqualWeb,"validação, boas práticas, desenvolvimento",,WEB,"mais de 25 funções para que os usuários ajustem a legibilidade e a navegação do site,  correção automática por IA, contrate especialistas para auditar e corrigir manualmente, Monitor de Acessibilidade, navegação por voz",não informado,parcialmente,não especificado,opção de escalar do widget simples para remediação manual completa é boa para empresas em crescimento; widget é um dos mais bem apresentados visualmente; ter equipe humana disponível para corrigir bugs complexos oferece segurança,"""Cost difference between automated tool and managed service is steep. Like other widget tools, it can sometimes clutter your UI or conflict with your existing site layout."" ""A diferença de custo entre a ferramenta automatizada e o serviço gerenciado é acentuada. Como outras ferramentas de widget, ela às vezes pode poluir sua interface de usuário ou entrar em conflito com o layout existente do seu site.""",Equipe,"Projetos pequenos, Empresas",não informado,não informado
5,Acquia Optimize,"validação, boas práticas, teste",,WEB,conformidade WCAG geral,pago,parcialmente,"WordPress, Drupal","une times de conteúdo e desenvolvedores em um só lugar; função de correção em massa é útil para erros recorrentes em centenas de páginas; relatórios são voltados para gestores, facilitando apresentação de progresso à liderança","""Interface is data heavy and can be overwhelming if you’re used to simple and single-purpose tools. Scanning and reporting can be slower than lightweight tools, particularly on very large websites.""
 ""A interface é carregada de dados e pode ser esmagadora se você estiver acostumado com ferramentas simples e de propósito único. A varredura e a geração de relatórios podem ser mais lentas do que em ferramentas leves, particularmente em sites muito grandes.""","time de marketing, editores de conteúdo, equipes do setor público",Empresas,não informado,não informado
5,UserWay,"validação, boas práticas",,WEB,"contraste, tamanho de texto, espaçamento, acessibilidade em PDFs, dislexia",pago,parcialmente,CMS,"widget fácil de instalar e adiciona ferramentas úteis imediatamente; serviço de PDF resolve uma grande dor, pois corrigir documentos manualmente é muito tedioso; traduções integradas melhoram a usabilidade geral","""Relying too much on widget can make teams lazy about fixing actual code structure. Customizing widget to match strict brand guide can be hard without some CSS work."" ""Confiar demais no widget pode tornar as equipes preguiçosas em relação à correção da estrutura real do código. Customizar o widget para seguir guias de marca rigorosos pode ser difícil sem algum trabalho de CSS.""
",Equipe,não informa,não informado,não informado
5,Level Access AMP,"teste, validação",,WEB,conformidade WCAG geral,pago,parcialmente,"""CI/CD (Jira, GitHub)""","treinamento integrado ajuda o time a aprender acessibilidade, não só corrigir bugs; oferece forma muito estruturada de gerenciar compliance em grandes organizações; integração CI/CD permite capturar problemas cedo no ciclo de desenvolvimento","""Interface feels li’l bit outdated and complex compared to modern and user-friendly tools. It’s expensive and focused towards enterprises, which makes it less preferable in smaller teams."" ""A interface parece um pouco desatualizada e complexa em comparação com ferramentas modernas e fáceis de usar. É cara e voltada para empresas, o que a torna menos preferível em equipes menores.""
",Equipe,Empresas,sim (possui AMP Academy com cursos para designers e desenvolvedores),não informado
5,AudioEye,"validação, boas práticas, desenvolvimento",,WEB,"alt text, conformidade WCAG geral",pago,parcialmente,não especificado,garantia legal oferece tranquilidade para empresas preocupadas com processos; modelo híbrido combina correções automáticas rápidas com expertise humana; dashboard focado em redução de risco é ótimo para relatórios executivos,"""Costs can add up quickly if you rely heavily on their managed services. Some developers dislike idea of injecting fixes rather than repairing source code."" ""Os custos podem aumentar rapidamente se você depender fortemente de seus serviços gerenciados. Alguns desenvolvedores não gostam da ideia de injetar correções em vez de reparar o código-fonte.""",Equipe,Empresas,não informado,não informado
5,DubBot,validação,,WEB,conformidade WCAG 2.1 AA geral,pago,sim,CMS," simples de usar, não requer conhecimento técnico profundo; modelo de preço flat é acessível e fácil de entender; lida com acessibilidade e links quebrados, o que é ótimo para gestores de conteúdo","""It lacks deep interactive testing features like real device checks. It’s more of reporting tool, so you still have to do fixing issues yourself.""  ""Faltam recursos de testes interativos profundos, como verificações em dispositivos reais. É mais uma ferramenta de relatório, então você ainda tem que corrigir os problemas por conta própria.""
","equipes do setor público, editores de conteúdo",não informa,"não (simples de usar, não requer conhecimento técnico profundo)",não informado
6,Acquia Optimize,"teste, validação",,WEB,"conformidade WCAG 2.2, ADA, acessibilidade em PDFs",pago/com plano gratuito,parcialmente,"WordPress, Drupal, Chrome","Os usuários elogiam seus relatórios intuitivos e suas ferramentas de governança, que facilitam o cumprimento dos requisitos de conformidade.",não informado,Equipe,Empresas,não informado,não informado
6,BrowserStack Accessibility Testing,"teste, validação",,"WEB, mobile","conformidade WCAG, ADA, EN 301 549, navegação por teclado, leitores de tela",pago/com plano gratuito,parcialmente,"""CI/CD (Jira, GitHub)"", NVDA, SDK, VoiceOver","Altamente avaliado por sua velocidade, profundidade de integração e recursos completos para testes em uma única plataforma.",não informado,Equipe,não informa,não informado,não informado
7,Google Sheets / Excel,"documentação, boas práticas",,WEB,gestão de problemas WCAG / organização de auditoria,gratuito,não,não especificado," funciona bem para projetos simples; o próprio autor relata ter rastreado 150+ issues; funções avançadas como Conditional Formatting, QUERY, Pivot Tables e IMPORTRANGE melhoram o rastreamento","""If someone forgets to update the spreadsheet, it can quickly lead to uncertainty, confusion, or re-work."" ""If multiple updates go undocumented, this can cause the project to get sidetracked just trying to figure out where it stands.""  ""The more issues, the more dedicated you need to be to tracking each issue.""  ""Se alguém se esquecer de atualizar a planilha, isso pode levar rapidamente à incerteza, confusão ou retrabalho.""  ""Se várias atualizações não forem documentadas, isso pode fazer com que o projeto se perca apenas tentando descobrir em que ponto está.""  ""Quanto mais problemas houver, mais dedicado você precisará ser para rastrear cada problema.""",Equipe,"Projetos pequenos, Empresas",não informado,não informado
7,Accessibility Tracker,"documentação, boas práticas",,WEB,gestão de problemas WCAG / priorização / acompanhamento de conformidade,não informado,parcialmente,não especificado,upload direto do relatório de auditoria sem entrada manual de dados; priorização automática por risco legal ou impacto ao usuário; cinco ferramentas de IA integradas para corrigir issues mais rápido; analytics automático de conformidade WCAG,não informado,Equipe,não informa,não informado,não informado
7,Jira / Asana,"documentação, boas práticas",,WEB,gestão e acompanhamento de issues,não informado,não,não especificado,não informado,não informado,Equipe,não informa,não informado,não informado
8,BrowserStack Accessibility Testing,"teste, validação, desenvolvimento",,WEB,detecção automática de problemas WCAG / testes em múltiplos dispositivos / cobertura de fluxos,pago/com plano gratuito,sim,"CI/CD , GitHub",auditorias rápidas e escaláveis sem configuração complexa; alta precisão via motor Spectra; excelente integração com ferramentas de desenvolvimento; UI limpa e intuitiva," ""Some onboarding is needed for advanced configuration.""
""É necessário algum treinamento inicial (onboarding) para configurações avançadas.""
",Equipe,"Projetos pequenos, Empresas","sim, para configuração avançada",não informado
8,TPGi ARC,"teste, validação",,WEB,auditoria WCAG detalhada / conformidade / monitoramento contínuo,pago,parcialmente,Jira,forte em compliance e rastreamento de issues; relatórios detalhados e específicos por função; serviços profissionais disponíveis,"""Steep learning curve... Less modern UI... Initial setup can be time-consuming.""
 ""Curva de aprendizado íngreme..."" ""Interface menos moderna..."" ""A configuração inicial pode ser demorada.""",Equipe,"Projetos pequenos, Empresas",sim,não informado
8,SiteImprove,"teste, validação, boas práticas",,WEB,monitoramento de acessibilidade / priorização de issues / qualidade de conteúdo,pago/com plano gratuito,sim,CMS,ótimo para equipes de marketing e conteúdo; cobertura ampla em nível enterprise; monitoramento em tempo real,"""Expensive... Less developer-focused... No fully free version.""
 ""Caro..."" ""Menos focado no desenvolvedor..."" ""Sem versão totalmente gratuita.""",Equipe,Empresas,não informado,não informado
8,Tenon.ai (Level Access),"teste, desenvolvimento",,WEB,detecção de problemas WCAG durante o desenvolvimento,pago/ trial disponivel,sim,"CI/CD, build tools",ideal para equipes técnicas; integração altamente customizável; permite testes de acessibilidade durante o desenvolvimento ativo,"""Lacks a user-friendly UI for non-technical users..."" ""No standalone free plan.""
 ""Carece de uma interface amigável para usuários não técnicos..."" ""Sem plano gratuito independente.""",Equipe,não informa,sim,não informado
8,AccessiBe,"desenvolvimento, boas práticas",,WEB,ajustes automáticos de acessibilidade / conformidade WCAG e ADA,pago/ trial disponivel,sim,não especificado,fácil de instalar com configuração mínima; atualizações automáticas para compliance; adequado para sites de pequenas empresas,"""Overlay approach may not catch all accessibility issues...""  ""AI overlays can’t fully replace manual audits""  ""and legal acceptance...is still debated."" ""A abordagem de sobreposição (overlay) pode não capturar todos os problemas de acessibilidade..."" ""as sobreposições de IA não podem substituir totalmente as auditorias manuais"" ""e a aceitação legal... ainda é debatida.""",Equipe,Projetos pequenos,não,não informado
8,Silktide,"teste, validação, boas práticas",,WEB,monitoramento WCAG / governança digital,pago/com plano gratuito,sim,CMS,suite completa de governança; dashboards bem projetados; atualizações frequentes e acesso baseado em funções," ""Expensive... "" ""Can feel overwhelming for smaller teams."" ""Caro..."" ""Pode parecer esmagador para equipes menores.""

","time de marketing, criador de conteúdo",Empresas,não informado,não informado
8,UserWay,desenvolvimento,,WEB,ajustes automáticos de interface,pago/com plano gratuito,sim,"WordPress, Shopify",instalação fácil; aparência customizável; preço acessível,"""Limited true WCAG remediation..."" ""Often breaks screen readers..."" ""Creates false compliance confidence.""
""Remediação WCAG real limitada..."" ""Frequentemente quebra leitores de tela..."" ""Cria uma falsa confiança de conformidade.""","DEV individual, Equipe",Projetos pequenos,não,não informado
8,Acquia Optimize,"teste, validação, boas práticas",,WEB,monitoramento WCAG / desempenho / conteúdo,pago/ trial disponivel,sim,CMS,amplo conjunto de recursos além de acessibilidade; breakdown de issues priorizado e claro; UI intuitiva,"""Pricing is enterprise-focused..."" ""Less technical than dev-centric tools."" ""O preço é focado em empresas (enterprise)...""  ""Menos técnico que ferramentas centradas em desenvolvedores.""",Equipe,Empresas,não informado,não informado
8,Accessibility Insights Microsoft,"teste, validação, desenvolvimento",,WEB,detecção rápida de problemas WCAG em desenvolvimento,gratuito,parcialmente,Azure DevOps,extremamente fácil de usar; perfeito para desenvolvedores individuais; gratuito e open-source; sem necessidade de configuração,"""Not ideal for large-scale or multi-page scans... Lacks deep CI/CD automation features."" ""Não é ideal para varreduras em larga escala ou de várias páginas... Carece de recursos profundos de automação CI/CD.""",DEV individual,Projetos pequenos,não,não informado
8,AudioEye,"teste, validação, desenvolvimento",,WEB,detecção + correção de problemas WCAG / conformidade,pago/ trial disponivel,parcialmente,não especificado,combina velocidade com precisão; documentação legal e suporte; reputação mais forte que outras ferramentas de overlay; porém usuários reclamam de cobertura parcial durante a automação,"""Still relies on overlays... "" ""users complain of coverage being partial during automation."" ""Pricing lacks transparency"" ""Ainda depende de sobreposições... "" ""os usuários reclamam que a cobertura é parcial durante a automação.""  ""A precificação carece de transparência""",Equipe,Empresas,não informado,não informado
9,BrowserStack Accessibility Testing,"teste, validação, desenvolvimento",,WEB,detecção automática de problemas WCAG / testes em múltiplas páginas / testes com tecnologias assistivas,pago/com plano gratuito,sim,"CI/CD, GitHub, Jenkins , API","É descrita como rápida, moderna, escalável e economiza horas de trabalho através da automação. Seu motor de IA (Spectra) realiza mais de 1200 verificações, faz varreduras rápidas em múltiplas páginas de fluxos reais e é compatível com tecnologias assistivas (JAWS, NVDA, etc.).",Não informado.,"DEV individual, Equipe",Empresas,não informado,não informado
9,EqualWeb,"desenvolvimento, boas práticas",,WEB,correções automáticas / conformidade WCAG e ADA,pago/com plano gratuito,sim,não especificado,"É forte para conformidade rápida, correções visuais e em tempo real para os visitantes usando um widget. Diferente do Dubbot, ela oferece remediação baseada em IA e não apenas detecção.","""But it’s not built for developer-level auditing or CI/CD.""
 ""Mas não foi construído para auditoria de nível de desenvolvedor ou CI/CD.""",Equipe,Empresas,não informado,não informado
9,UserWay,"validação, boas práticas",,WEB,ajustes automáticos de interface / acessibilidade básica,pago/com plano gratuito,sim,não especificado,"Solução leve, simples e fácil de implementar por meio de um widget ""plug-and-play"" de uma linha de código. Oferece recursos imediatos na superfície (como contraste e redimensionamento de texto) e suporte a leitor de tela/voz.","""But it doesn’t replace Dubbot’s reports and scanning, just complements it for surface-level fixes."" ""Mas não substitui os relatórios e a varredura do Dubbot, apenas o complementa para correções superficiais.""","proprietários do site, DEV individual, Equipe",Empresas,não,não informado
9,SiteImprove,"teste, validação, boas práticas",,WEB,auditoria de acessibilidade / análise de conteúdo / monitoramento,pago,sim,"WordPress, Drupal","Funciona como uma ferramenta completa (SEO, conteúdo, análise e acessibilidade juntos) , superando a abordagem de verificações separadas do Dubbot. Fornece auditorias profundas integrando-se bem a CMSs (WordPress, Drupal)","""Just know it can be overwhelming for small teams.""
""Apenas saiba que pode ser esmagador para equipes pequenas.""","Equipe , DEV individual",Empresas,não informado,não informado
9,Silktide,"teste, validação, boas práticas",,WEB,monitoramento WCAG / análise visual e UX,pago/ trial disponivel,sim,não especificado,"Ferramenta extremamente visual, com painéis coloridos e mapas de calor interativos que são ótimos para mostrar o impacto diretamente aos clientes. Inclui simulação de daltonismo e testes de navegação por teclado.","""But sometimes gives false positives or overly simplified advice."" ""Mas às vezes fornece falsos positivos ou conselhos excessivamente simplificados."" ","Equipe , time de marketing, designers",não informa,não informado,não informado
9,AllAccessible,"validação, desenvolvimento",,WEB,correções básicas automáticas / suporte à conformidade,gratuito,sim,não especificado,"Funciona como um kit de início rápido, sendo fácil de instalar via script para colocar um widget e um painel básico em funcionamento. É mais fácil de usar do que o Dubbot para usuários leigos.","""It’s not deep in automation... lacks in-depth scanning."" ""Não é profundo em automação... carece de varredura detalhada.""
","DEV individual, Equipe","Projetos pequenos, Empresas",não informado,não informado
9,AccessiBe,"validação, desenvolvimento",,WEB,ajustes automáticos / auditoria automática,pago/ trial disponivel,sim,não especificado,É mais rápida de implantar do que o Dubbot. Possui um sistema de auditoria automatizado e um widget que executa ajustes em segundo plano e em tempo real com auxílio de IA.,"""...less transparent. Use with caution if you need control.""  ""...menos transparente. Use com cautela se precisar de controle.""","DEV individual, Equipe","Projetos pequenos, Empresas",não informado,não informado
9,Acquia Optimize,"teste, validação, boas práticas",,WEB,monitoramento de acessibilidade / análise de conteúdo / relatórios,pago/ trial disponivel,sim,não especificado,"Substitui de forma sólida o Dubbot caso o usuário queira extrair mais informações e insights detalhados a cada varredura realizada. Foca em melhorias em todo o site, traz boas ferramentas de colaboração e suporta escaneamento de PDFs e conteúdo multilíngue.","""...learning curve is there."" ""...a curva de aprendizado existe.""
","editores de conteúdo, time de marketing, equipes do setor público",Empresas,Sim,não informado
9,Level Access AMP,"teste, validação, documentação",,WEB,gestão completa de conformidade / auditoria / documentação legal,pago/ trial disponivel,parcialmente,não especificado,É uma ferramenta muito mais poderosa do que o Dubbot. É a plataforma ideal se o objetivo central for atingir um nível de suporte e conformidade corporativa robusta. Gerencia desde auditorias manuais e automáticas até a documentação de relatórios VPAT,"""It’s more powerful than Dubbot, but also priced and built for big companies.""
""É mais poderoso que o Dubbot, mas também tem o preço voltado para grandes empresas e foi construído para elas.""",equipes do setor público,Empresas,não informado,não informado
10,Accessibility Tracker,"validação, documentação, boas práticas",,WEB,gestão de problemas WCAG / priorização / acompanhamento de conformidade,pago/com plano gratuito,parcialmente,não especificado,"Permite gerenciar projetos de acessibilidade com base em auditorias de forma centralizada. Reduz o tempo de execução do projeto em até 2,5 vezes, gera economia de horas brutas de trabalho, diminui a duração total do projeto (ex: de 10 semanas para 4 semanas) e poupa energia mental ao reduzir drasticamente a troca de e-mails de vaivém.",Não informado,"Especialista em acessibilidade, Equipe",Empresas,Não informado (o texto diz apenas que basta fazer o upload de uma planilha Excel para começar).,não informado
11,Accessibility Statement,boas práticas,,WEB,falta de transparência sobre acessibilidade / ausência de comunicação com usuários / risco legal,gratuito,não,não se aplica,"O artigo afirma que uma declaração de acessibilidade demonstra o compromisso da organização com a acessibilidade, informa o estado atual do site e, segundo especialistas citados no texto, pode ajudar a evitar ações judiciais quando há canais de contato ativos e respostas adequadas aos usuários.","""What an accessibility statement is not is a promise that everything is going to be perfectly accessible to everyone and at all times.""
 ""O que uma declaração de acessibilidade não é, é uma promessa de que tudo será perfeitamente acessível para todos e em todos os momentos.""",proprietários do site,não informa,não informado,não informado
11,W3C Accessibility Statement Generator,documentação,,WEB,dificuldade em criar declaração de acessibilidade,gratuito,sim,não especificado,Citado como um recurso para auxiliar na criação de declarações de acessibilidade sem a necessidade de começar do zero.,Não informado,Especialista em acessibilidade,não informa,não informado,não informado
11,Accessibility Checker (Equalize Digital),"teste, validação",,WEB,detecção de problemas WCAG,pago/com plano gratuito,sim,WordPress,Citado como um recurso que auxilia na criação de declarações de acessibilidade.,Não informado.,Especialista em acessibilidade,não informa,não informado,não informado
11,SiteImprove,"teste, validação, boas práticas",,WEB,monitoramento e auditoria de acessibilidade,pago,parcialmente,não especificado,Citado como um recurso para auxiliar na elaboração de declarações de acessibilidade,Não informado.,Especialista em acessibilidade,não informa,não informado,não informado
11,GOV.UK accessibility statement guidance,"documentação, boas práticas",,WEB,dificuldade em estruturar corretamente uma accessibility statement,gratuito,não,não se aplica,Citado como um recurso de apoio para a criação de declarações de acessibilidade.,Não informado.,Especialista em acessibilidade,não informa,não informado,não informado
12,Reusable Accessibility Components (Bottom-up approach),"desenvolvimento, boas práticas",,mobile,inconsistência na implementação de acessibilidade / retrabalho / falta de padronização,gratuito,não,não especificado,Economiza tempo de desenvolvimento e garante consistência em toda a aplicação.,Não informado.,"Equipe , Engenheiros",Empresas,não informado,não informado
12,Centralised Translation Service,"desenvolvimento, boas práticas",,mobile,inconsistência de conteúdo / dificuldade de manutenção de textos acessíveis,gratuito,não,não especificado,Garante consistência e reduz duplicação de esforço.,Não mencionado.,Engenheiros,Empresas,não informado,não informado
12,Extended Accessibility Features,desenvolvimento,,"WEB, mobile",Extended Accessibility Features,não informado,não,não especificado,"Permite combinar elementos de UI, adicionar ações personalizadas e atualizar traits dinamicamente conforme interações do usuário.",Não mencionado.,"Equipe , Engenheiros",Empresas,não informado,não informado
12,Accessibility Inspector,"teste, validação",,"WEB, mobile","detecção de problemas (labels, foco, navegação)",não informado,parcialmente,não especificado,"Agilizou o processo de debugging, facilitando identificar e resolver lacunas de acessibilidade como labels ausentes, traits incorretos e problemas de ordem de foco.",Não mencionado.,"Equipe , Engenheiros",Empresas,não informado,não informado
12,User Testing + Multi-device Testing,"teste, boas práticas",,"WEB, mobile",problemas reais de usabilidade / falhas não detectadas automaticamente,não informado,não,não se aplica,"Garantiu experiência consistente em phones, tablets e smart TVs; envolver usuários com deficiência gerou feedbacks valiosos sobre usabilidade real.",Não mencionado.,"Equipe , Engenheiros, testadores",Empresas,não informado,não informado
13,Accessible Design Principles (POUR),"desenvolvimento, boas práticas",,"WEB, mobile",interfaces não inclusivas / dificuldades de uso para diferentes tipos de deficiência,gratuito,não,não se aplica,"Formam a base para projetar experiências que todos podem usar, cobrindo percepção, operação, compreensão e robustez.",Não mencionado.,"designers, Engenheiros",não informa,não informado,não informado
13,WCAG 2.1,"guias, documentação, boas práticas",,WEB,falta de padronização na criação de sistemas acessíveis,gratuito,não,não se aplica,"Fornece um framework abrangente para design de conteúdo acessível, com aplicação prática desde o wireframing até o teste do produto final.",Não mencionado.,"designers, Engenheiros",não informa,não informado,não informado
13,WAVE,"teste, validação",,WEB,detecção de problemas de acessibilidade,não informado,sim,não especificado,Identifica rapidamente problemas de acessibilidade nos designs.,Não mencionado.,"designers, Engenheiros",não informa,não informado,não informado
13,Axe,"teste, validação",,WEB,detecção automática de problemas WCAG,não informado,sim,não especificado,Identifica rapidamente problemas de acessibilidade nos designs.,Não mencionado.,"designers, Engenheiros",não informa,não informado,não informado
13,Lighthouse,"teste, validação",,WEB,avaliação de acessibilidade e qualidade do site,não informado,sim,não especificado,Identifica rapidamente problemas de acessibilidade nos designs.,Não mencionado.,"designers, Engenheiros",não informa,não informado,não informado
13,Manual Testing + Assistive Technologies,"teste, boas práticas",,"WEB, mobile",problemas não detectados por ferramentas automáticas,não informado,não,"NVDA, JAWS","Garante acessibilidade por meio de navegação por teclado, leitores de tela (NVDA, JAWS), magnificadores e software de reconhecimento de voz.",Não mencionado.,"designers, Engenheiros",não informa,não informado,não informado
14,AccessiBe,"teste, validação",,WEB,avaliação de conformidade WCAG / detecção de problemas de acessibilidade,não informado,sim,não especificado,"Avaliou a adesão da plataforma ao WCAG 2.1 nível AA; identificou que o site era semi-compliant, detectando problemas em clicáveis e títulos.",Não mencionado.,"auditores, Especialista em acessibilidade",não informa,não informado,não informado
14,Axe DevTools,"teste, validação, desenvolvimento",,WEB,detecção de problemas WCAG em páginas específicas,não informado,sim,Chrome,"Usado para análise exploratória de acessibilidade em páginas específicas, auditando com base no WCAG.",Não mencionado.,"auditores, Engenheiros",não informa,não informado,não informado
14,Lighthouse,"teste, validação",,WEB,avaliação de acessibilidade e qualidade do site,não informado,sim,Chrome,"O site obteve 94/100 para mobile e 86/100 para desktop; identificou problemas de contraste, ordem de headings e atributos redundantes em imagens.",Não informado.,"auditores, Engenheiros",não informa,não informado,não informado
