ID ARTIGO,RECURSO,CITAÇÃO DA LIMITAÇÃO,LIMITAÇÃO
5,Acquia Optimize,"""Interface is data heavy and can be overwhelming if you’re used to simple and single-purpose tools. Scanning and reporting can be slower than lightweight tools, particularly on very large websites.""
 ""A interface é carregada de dados e pode ser esmagadora se você estiver acostumado com ferramentas simples e de propósito único. A varredura e a geração de relatórios podem ser mais lentas do que em ferramentas leves, particularmente em sites muito grandes.""","Desempenho e eficiência operacional, Complexidade de utilização"
5,UserWay,"""Relying too much on widget can make teams lazy about fixing actual code structure. Customizing widget to match strict brand guide can be hard without some CSS work."" ""Confiar demais no widget pode tornar as equipes preguiçosas em relação à correção da estrutura real do código. Customizar o widget para seguir guias de marca rigorosos pode ser difícil sem algum trabalho de CSS.""
","Cobertura limitada da implementação, Complexidade de utilização"
5,Level Access AMP,"""Interface feels li’l bit outdated and complex compared to modern and user-friendly tools. It’s expensive and focused towards enterprises, which makes it less preferable in smaller teams."" ""A interface parece um pouco desatualizada e complexa em comparação com ferramentas modernas e fáceis de usar. É cara e voltada para empresas, o que a torna menos preferível em equipes menores.""
","Restrições de disponibilidade, Escopo funcional limitado"
5,AudioEye,"""Costs can add up quickly if you rely heavily on their managed services. Some developers dislike idea of injecting fixes rather than repairing source code."" ""Os custos podem aumentar rapidamente se você depender fortemente de seus serviços gerenciados. Alguns desenvolvedores não gostam da ideia de injetar correções em vez de reparar o código-fonte.""","Restrições de disponibilidade, Aceitação e confiança profissional"
5,DubBot,"""It lacks deep interactive testing features like real device checks. It’s more of reporting tool, so you still have to do fixing issues yourself.""  ""Faltam recursos de testes interativos profundos, como verificações em dispositivos reais. É mais uma ferramenta de relatório, então você ainda tem que corrigir os problemas por conta própria.""
","Dependência de validação/intervenção humana, Informações ou funcionalidades insuficientes"
6,Acquia Optimize,não informado,
6,BrowserStack Accessibility Testing,não informado,
7,Google Sheets / Excel,"""If someone forgets to update the spreadsheet, it can quickly lead to uncertainty, confusion, or re-work."" ""If multiple updates go undocumented, this can cause the project to get sidetracked just trying to figure out where it stands.""  ""The more issues, the more dedicated you need to be to tracking each issue.""  ""Se alguém se esquecer de atualizar a planilha, isso pode levar rapidamente à incerteza, confusão ou retrabalho.""  ""Se várias atualizações não forem documentadas, isso pode fazer com que o projeto se perca apenas tentando descobrir em que ponto está.""  ""Quanto mais problemas houver, mais dedicado você precisará ser para rastrear cada problema.""","Dependência de validação/intervenção humana, Escalabilidade limitada"
7,Accessibility Tracker,não informado,
7,Jira / Asana,não informado,
8,BrowserStack Accessibility Testing," ""Some onboarding is needed for advanced configuration.""
""É necessário algum treinamento inicial (onboarding) para configurações avançadas.""
",Complexidade de utilização
8,TPGi ARC,"""Steep learning curve... Less modern UI... Initial setup can be time-consuming.""
 ""Curva de aprendizado íngreme..."" ""Interface menos moderna..."" ""A configuração inicial pode ser demorada.""","Complexidade de utilização, Escopo funcional limitado"
8,SiteImprove,"""Expensive... Less developer-focused... No fully free version.""
 ""Caro..."" ""Menos focado no desenvolvedor..."" ""Sem versão totalmente gratuita.""",Restrições de disponibilidade
8,Tenon.ai (Level Access),"""Lacks a user-friendly UI for non-technical users..."" ""No standalone free plan.""
 ""Carece de uma interface amigável para usuários não técnicos..."" ""Sem plano gratuito independente.""","Complexidade de utilização, Restrições de disponibilidade"
8,AccessiBe,"""Overlay approach may not catch all accessibility issues...""  ""AI overlays can’t fully replace manual audits""  ""and legal acceptance...is still debated."" ""A abordagem de sobreposição (overlay) pode não capturar todos os problemas de acessibilidade..."" ""as sobreposições de IA não podem substituir totalmente as auditorias manuais"" ""e a aceitação legal... ainda é debatida.""","Cobertura limitada da implementação, Aceitação e confiança profissional, Dependência de validação/intervenção humana"
8,Silktide," ""Expensive... "" ""Can feel overwhelming for smaller teams."" ""Caro..."" ""Pode parecer esmagador para equipes menores.""

","Restrições de disponibilidade, Complexidade de utilização"
8,UserWay,"""Limited true WCAG remediation..."" ""Often breaks screen readers..."" ""Creates false compliance confidence.""
""Remediação WCAG real limitada..."" ""Frequentemente quebra leitores de tela..."" ""Cria uma falsa confiança de conformidade.""","Cobertura limitada da implementação, Compatibilidade e integração"
8,Acquia Optimize,"""Pricing is enterprise-focused..."" ""Less technical than dev-centric tools."" ""O preço é focado em empresas (enterprise)...""  ""Menos técnico que ferramentas centradas em desenvolvedores.""","Restrições de disponibilidade, Escopo funcional limitado"
8,Accessibility Insights Microsoft,"""Not ideal for large-scale or multi-page scans... Lacks deep CI/CD automation features."" ""Não é ideal para varreduras em larga escala ou de várias páginas... Carece de recursos profundos de automação CI/CD.""","Escalabilidade limitada, Compatibilidade e integração"
8,AudioEye,"""Still relies on overlays... "" ""users complain of coverage being partial during automation."" ""Pricing lacks transparency"" ""Ainda depende de sobreposições... "" ""os usuários reclamam que a cobertura é parcial durante a automação.""  ""A precificação carece de transparência""","Cobertura limitada da implementação, Restrições de disponibilidade"
9,BrowserStack Accessibility Testing,Não informado.,
9,EqualWeb,"""But it’s not built for developer-level auditing or CI/CD.""
 ""Mas não foi construído para auditoria de nível de desenvolvedor ou CI/CD.""",Escopo funcional limitado
9,UserWay,"""But it doesn’t replace Dubbot’s reports and scanning, just complements it for surface-level fixes."" ""Mas não substitui os relatórios e a varredura do Dubbot, apenas o complementa para correções superficiais.""",Cobertura limitada da implementação
9,SiteImprove,"""Just know it can be overwhelming for small teams.""
""Apenas saiba que pode ser esmagador para equipes pequenas.""",Complexidade de utilização
9,Silktide,"""But sometimes gives false positives or overly simplified advice."" ""Mas às vezes fornece falsos positivos ou conselhos excessivamente simplificados."" ",Informações ou funcionalidades insuficientes
9,AllAccessible,"""It’s not deep in automation... lacks in-depth scanning."" ""Não é profundo em automação... carece de varredura detalhada.""
",Cobertura limitada da implementação
9,AccessiBe,"""...less transparent. Use with caution if you need control.""  ""...menos transparente. Use com cautela se precisar de controle.""",Informações ou funcionalidades insuficientes
9,Acquia Optimize,"""...learning curve is there."" ""...a curva de aprendizado existe.""
",Complexidade de utilização
9,Level Access AMP,"""It’s more powerful than Dubbot, but also priced and built for big companies.""
""É mais poderoso que o Dubbot, mas também tem o preço voltado para grandes empresas e foi construído para elas.""",Restrições de disponibilidade
10,Accessibility Tracker,Não informado,
11,Accessibility Statement,"""What an accessibility statement is not is a promise that everything is going to be perfectly accessible to everyone and at all times.""
 ""O que uma declaração de acessibilidade não é, é uma promessa de que tudo será perfeitamente acessível para todos e em todos os momentos.""",Cobertura limitada da implementação
11,W3C Accessibility Statement Generator,Não informado,
11,Accessibility Checker (Equalize Digital),Não informado.,
11,SiteImprove,Não informado.,
11,GOV.UK accessibility statement guidance,Não informado.,
12,Reusable Accessibility Components (Bottom-up approach),Não informado.,
12,Centralised Translation Service,Não mencionado.,
12,Extended Accessibility Features,Não mencionado.,
12,Accessibility Inspector,Não mencionado.,
12,User Testing + Multi-device Testing,Não mencionado.,
13,Accessible Design Principles (POUR),Não mencionado.,
13,WCAG 2.1,Não mencionado.,
13,WAVE,Não mencionado.,
13,Axe,Não mencionado.,
13,Lighthouse,Não mencionado.,
13,Manual Testing + Assistive Technologies,Não mencionado.,
14,AccessiBe,Não mencionado.,
14,Axe DevTools,Não mencionado.,
14,Lighthouse,Não informado.,
14,Accessible Design Principles (POUR),Não informado.,
14,PageSpeed Insights,Não informado.,
15,Axe DevTools,Não informado.,
15,Lighthouse,Não informado.,
15,Axe Lint,"""We can mitigate some basic accessibility issues using the Axe Lint extension for VS Code, this tool will warn you about basic accessibility things like missing alt text on images."" ""Podemos mitigar alguns problemas básicos de acessibilidade usando a extensão Axe Lint para VS Code, esta ferramenta irá avisá-lo sobre coisas básicas de acessibilidade, como a falta de texto alternativo em imagens.""",Cobertura limitada da implementação
15,Contrast (Figma Plugin),Não informado.,
15,Axe for Designers (Figma Plugin),Não informado.,
15,Color Contrast Checker (Coolors),Não informado.,
16,Accessible Design Principles (POUR),Não informado.,
16,WebAIM Contrast Checker,Não informado.,
16,WAVE,Não informado.,
16,Axe DevTools,Não informado.,
16,Lighthouse,Não informado.,
16,User Testing,Não informado.,
17,Accessible Design Principles (POUR),Não informado.,
17,Axe DevTools,Não informado.,
17,WAVE,Não informado.,
17,Pa11y,Não informado.,
17,Tenon.io,Não informado.,
17,Deque AXE Coconut,Não informado.,
17,Lighthouse,"""While primarily focused on performance and best practices, Lighthouse also includes accessibility auditing capabilities.""
 ""Embora focado principalmente em desempenho e melhores práticas, o Lighthouse também inclui recursos de auditoria de acessibilidade.""",Escopo funcional limitado
18,Axe DevTools,Não informado.,
18,WAVE,Não informado.,
18,SiteImprove,Não informado.,
18,NVDA,Não informado.,
18,AccessiBe,"""Keep in mind that for a comprehensive approach, manual accessibility testing is also recommended."" ""Tenha em mente que, para uma abordagem abrangente, o teste de acessibilidade manual também é recomendado.""",Dependência de validação/intervenção humana
18,Deque WorldSpace,Não informado.,
19,Accessible Design Practices,Não informado,
19,WAVE,Não informado.,
19,Axe DevTools,Não informado.,
19,Accessibility Insights Microsoft,Não informado.,
19,Lighthouse,"""Chrome DevTools — lighthouse report will flag basic accessibility issues.""
 ""Chrome DevTools — o relatório do Lighthouse sinalizará problemas básicos de acessibilidade.""",Cobertura limitada da implementação
20,Axe DevTools Pro," ""...axe Core rule engine which is capable of identifying 57% accessibility issues on any given web page."" ""Deque also added the IGT (Intelligent Guided Testing) feature is axe Devtools Pro which can help developers and QA teams identify up to 84% of accessibility issues on any given web page.""
 ""...mecanismo de regras axe Core, que é capaz de identificar 57% dos problemas de acessibilidade em qualquer página web.""
""A Deque também adicionou o recurso IGT (Intelligent Guided Testing) ao axe Devtools Pro, que pode ajudar desenvolvedores e equipes de QA a identificar até 84% dos problemas de acessibilidade em qualquer página web.""",Cobertura limitada da implementação
21,Accessible Design Practices,Não informado.,
21,WAVE,Não informado.,
21,Axe Accessibility Checker,Não informado.,
21,Stark (Plugin),Não informado.,
21,A11Y Color Contrast Checker,Não informado.,
21,PageSpeed Insights,Não informado.,
21,WebAIM Contrast Checker,Não informado.,
21,Coolors,Não informado.,
21,Contrast (Figma Plugin),Não informado.,
21,Web Content Accessibility Guidelines (WCAG),Não informado.,
21,W3C Web Accessibility Initiative (WAI) Resources,Não informado.,
21,GOV.UK Design System,Não informado,
21,U.S. Web Design System,Não informado.,
21,A11Y Project Checklist,Não informado.,
21,Dopely colors,Não informado.,
21,WebAIM’s CSS Resources,Não informado.,
21,MDN Web Docs Accessibility,Não informado.,
21,HTML5 Accessibility,Não informado.,
22,Web Content Accessibility Guidelines (WCAG),Não informado,
22,Color Contrast Analyzer,Não informado,
22,Lighthouse,Não informado.,
22,WebAIM Contrast Checker,Não informado.,
23,Axe-core,"""I’ve always ran axe-core using Selenium and ChromeDriver. But this can be flaky as every time you update Chrome, your tests no longer work. Even if I’m using a version manager to switch between NodeJS versions, I still hit the issue of [ChromeDriver compatibility]..."" ""Eu sempre executei o axe-core usando Selenium e ChromeDriver. Mas isso pode ser instável, pois toda vez que você atualiza o Chrome, seus testes deixam de funcionar. Mesmo que eu esteja usando um gerenciador de versões para alternar entre as versões do NodeJS, ainda enfrento o problema de [compatibilidade do ChromeDriver]...""",Compatibilidade e integração
23,Pa11y,"""When I ran the tests for the initial comparison, it was using Selenium for axe-core and PA11Y’s own headless Chrome browser together. This was fine for what I was trying to do, but it made the tests slow, and in a real project it would be super inefficient.""  ""Quando executei os testes para a comparação inicial, estava usando o Selenium para o axe-core e o próprio navegador Chrome headless do PA11Y juntos. Isso foi aceitável para o que eu estava tentando fazer, mas tornou os testes lentos e, em um projeto real, seria super ineficiente.""
",Desempenho e eficiência operacional
23,HTML CodeSniffer (HTMLCS),Não informado.,
24,WAVE,Não informado.,
24,Lighthouse,Não informado.,
24,Axe DevTools,Não informado.,
25,WordPress Accessibility Improvements,Não informado,
25,Accessible Media Implementation,Não informado.,
25,Keyboard Accessibility,Não informado.,
25,Google Text-to-Speech Extension,Não informado.,
25,Yoast SEO,Não informado.,
26,Stark Plugin,Não informado.,
27,Web Content Accessibility Guidelines (WCAG),Não informado.,
27,Accessible Design Principles (POUR),Não informado,
28,Accessible Design Principles (POUR),Não informado,
29,Web Content Accessibility Guidelines (WCAG),Não informado,
29,WAVE,"""Manual testing can also be done by individuals with disabilities, who can provide valuable feedback on the user experience."" ""O teste manual também pode ser feito por pessoas com deficiência, que podem fornecer feedback valioso sobre a experiência do usuário.""
",Dependência de validação/intervenção humana
29,Deque ,"""Manual testing can also be done by individuals with disabilities, who can provide valuable feedback on the user experience."" ""O teste manual também pode ser feito por pessoas com deficiência, que podem fornecer feedback valioso sobre a experiência do usuário.""
",Dependência de validação/intervenção humana
29,GNOME Orca,Não informado.,
29,NVDA,Não informado.,
29,VoiceOver,Não informado.,
29,ChromeVox,Não informado.,
29,KeyboardTester,Não informado.,
29,Deque Keyboard Guided Tests,Não informado.,
30,Axe DevTools,não informado,
30,Stark Plugin,não informado,
30,a11yTools,não informado,
30,WCAG 2.1,não informado,
30,WebAIM’s WCAG 2 Checklist:,não informado,
30,W3C Quick Ref:,não informado,
30,The A11y Project,não informado,
30,Access Guide,não informado,
30,Web Accessibility Checklist,não informado,
30,HTML Semântico / Estados de Foco / Rótulos (Labels),"""When you run over such a line of code, never set the focus to 'none'. With this you are automatically not accessible.""  ""Focus states should never be subtle, users with visual impairments might not notice these subtle states..."" ""...always use labels and don’t rely on placeholders."" ""And last but not least do not use a positive tab index. Ever.""  ""...if we start building too many div containers, screen readers will quickly lack context, as they won’t be able to distinguish where a container starts and where it ends.""
 ""Quando você se deparar com tal linha de código, nunca defina o foco como 'none'. Com isso, você se torna automaticamente não acessível."" ""Os estados de foco nunca devem ser sutis; usuários com deficiências visuais podem não perceber esses estados sutis..."" ""...sempre use rótulos (labels) e não confie em placeholders.""  ""E por último, mas não menos importante, não use um tab index positivo. Nunca."" ""...se começarmos a construir muitos contêineres div, os leitores de tela perderão rapidamente o contexto, pois não serão capazes de distinguir onde um contêiner começa e onde termina.""  ""...muitos títulos h1 aqui, isso também é confuso para os leitores de tela e, portanto, para o usuário.""","Dependência de validação/intervenção humana, Escalabilidade limitada"
30,ARIA-labels,"""...better use no ARIA than bad ARIA!"" ""...melhor não usar ARIA do que um ARIA ruim!""",Informações ou funcionalidades insuficientes
31,WAVE,"""As we all know, scans or 'ADA website checkers' are limited. They can only flag 20–25% of issues under WCAG 2.1 AA success criteria."" ""And any issues that are flagged still need to be manually reviewed."" ""...scans commonly have false negatives, not returning an issue when one exists — and this is for accessibility issues that are 'caught', in theory.""
 ""Como todos sabemos, varreduras ou 'verificadores de sites ADA' são limitados. Eles só podem sinalizar de 20 a 25% dos problemas sob os critérios de sucesso WCAG 2.1 AA."" ""E quaisquer problemas que sejam sinalizados ainda precisam ser revisados manualmente."" ""...varreduras comumente têm falsos negativos, não retornando um problema quando ele existe — e isso para problemas de acessibilidade que são 'capturados', em teoria.""
","Dependência de validação/intervenção humana, Cobertura limitada da implementação"
31,Axe-core,"""As we all know, scans or 'ADA website checkers' are limited. They can only flag 20–25% of issues under WCAG 2.1 AA success criteria."" ""And any issues that are flagged still need to be manually reviewed."" ""...scans commonly have false negatives, not returning an issue when one exists — and this is for accessibility issues that are 'caught', in theory.""
 ""Como todos sabemos, varreduras ou 'verificadores de sites ADA' são limitados. Eles só podem sinalizar de 20 a 25% dos problemas sob os critérios de sucesso WCAG 2.1 AA."" ""E quaisquer problemas que sejam sinalizados ainda precisam ser revisados manualmente."" ""...varreduras comumente têm falsos negativos, não retornando um problema quando ele existe — e isso para problemas de acessibilidade que são 'capturados', em teoria.""
","Dependência de validação/intervenção humana, Cobertura limitada da implementação"
31,Lighthouse,"""As we all know, scans or 'ADA website checkers' are limited. They can only flag 20–25% of issues under WCAG 2.1 AA success criteria."" ""And any issues that are flagged still need to be manually reviewed."" ""...scans commonly have false negatives, not returning an issue when one exists — and this is for accessibility issues that are 'caught', in theory.""
 ""Como todos sabemos, varreduras ou 'verificadores de sites ADA' são limitados. Eles só podem sinalizar de 20 a 25% dos problemas sob os critérios de sucesso WCAG 2.1 AA."" ""E quaisquer problemas que sejam sinalizados ainda precisam ser revisados manualmente."" ""...varreduras comumente têm falsos negativos, não retornando um problema quando ele existe — e isso para problemas de acessibilidade que são 'capturados', em teoria.""
","Dependência de validação/intervenção humana, Cobertura limitada da implementação"
31,Monsido,"""As we all know, scans or 'ADA website checkers' are limited. They can only flag 20–25% of issues under WCAG 2.1 AA success criteria."" ""And any issues that are flagged still need to be manually reviewed."" ""...scans commonly have false negatives, not returning an issue when one exists — and this is for accessibility issues that are 'caught', in theory.""
 ""Como todos sabemos, varreduras ou 'verificadores de sites ADA' são limitados. Eles só podem sinalizar de 20 a 25% dos problemas sob os critérios de sucesso WCAG 2.1 AA."" ""E quaisquer problemas que sejam sinalizados ainda precisam ser revisados manualmente."" ""...varreduras comumente têm falsos negativos, não retornando um problema quando ele existe — e isso para problemas de acessibilidade que são 'capturados', em teoria.""
","Dependência de validação/intervenção humana, Cobertura limitada da implementação"
31,Siteimprove,"""As we all know, scans or 'ADA website checkers' are limited. They can only flag 20–25% of issues under WCAG 2.1 AA success criteria."" ""And any issues that are flagged still need to be manually reviewed."" ""...scans commonly have false negatives, not returning an issue when one exists — and this is for accessibility issues that are 'caught', in theory.""
 ""Como todos sabemos, varreduras ou 'verificadores de sites ADA' são limitados. Eles só podem sinalizar de 20 a 25% dos problemas sob os critérios de sucesso WCAG 2.1 AA."" ""E quaisquer problemas que sejam sinalizados ainda precisam ser revisados manualmente."" ""...varreduras comumente têm falsos negativos, não retornando um problema quando ele existe — e isso para problemas de acessibilidade que são 'capturados', em teoria.""
","Dependência de validação/intervenção humana, Cobertura limitada da implementação"
31,Silktide,"""As we all know, scans or 'ADA website checkers' are limited. They can only flag 20–25% of issues under WCAG 2.1 AA success criteria."" ""And any issues that are flagged still need to be manually reviewed."" ""...scans commonly have false negatives, not returning an issue when one exists — and this is for accessibility issues that are 'caught', in theory.""
 ""Como todos sabemos, varreduras ou 'verificadores de sites ADA' são limitados. Eles só podem sinalizar de 20 a 25% dos problemas sob os critérios de sucesso WCAG 2.1 AA."" ""E quaisquer problemas que sejam sinalizados ainda precisam ser revisados manualmente."" ""...varreduras comumente têm falsos negativos, não retornando um problema quando ele existe — e isso para problemas de acessibilidade que são 'capturados', em teoria.""
","Dependência de validação/intervenção humana, Cobertura limitada da implementação"
31,CrownPeak,"""As we all know, scans or 'ADA website checkers' are limited. They can only flag 20–25% of issues under WCAG 2.1 AA success criteria."" ""And any issues that are flagged still need to be manually reviewed."" ""...scans commonly have false negatives, not returning an issue when one exists — and this is for accessibility issues that are 'caught', in theory.""
 ""Como todos sabemos, varreduras ou 'verificadores de sites ADA' são limitados. Eles só podem sinalizar de 20 a 25% dos problemas sob os critérios de sucesso WCAG 2.1 AA."" ""E quaisquer problemas que sejam sinalizados ainda precisam ser revisados manualmente."" ""...varreduras comumente têm falsos negativos, não retornando um problema quando ele existe — e isso para problemas de acessibilidade que são 'capturados', em teoria.""
","Dependência de validação/intervenção humana, Cobertura limitada da implementação"
31,Auditorias e Remediação Manual (Metodologia),Requer especialistas e tempo,
32,Axe DevTools,"""...scan whole webpage(available in free version) or scan a part of our webpage(available in pro version)..."" ""...varrer toda a página web (disponível na versão gratuita) ou varrer uma parte da nossa página web (disponível na versão pro)...""",Restrições de disponibilidade
32,JAWS Screen Reader,não informado,
32,Web Content Accessibility Guidelines (WCAG),não informado,
30,HTML Semântico / Estados de Foco / Rótulos (Labels),O uso excessivo de containers div ou muitos títulos h1 confunde os leitores de tela,
33,Web Developer by Chris,"""...the extension only knows the window’s outer size... Additionally, it can’t account for the browser’s zoom."" ""...a extensão conhece apenas o tamanho externo da janela... Além disso, ela não consegue levar em conta o zoom do navegador.""",Cobertura limitada da implementação
33,Grammarly,não informado,
33,Clipboard History Pro,não informado,
33,Accessible Color Picker by Level Access,não informado,
33,WAVE,"""Tools can’t replace humans! ...always check those tools to confirm they’re really issues and continue manual testing each time."" ""...it’s not as verbose as it used to be."" ""As ferramentas não podem substituir os humanos! ...sempre verifique essas ferramentas para confirmar se são realmente problemas e continue os testes manuais todas as vezes."" ""...it’s not as verbose as it used to be.""",Cobertura limitada da implementação
33,Axe DevTools,"""Tools can’t replace humans! ...always check those tools to confirm they’re really issues and continue manual testing each time."" ""As ferramentas não podem substituir os humanos! ...sempre verifique essas ferramentas para confirmar se são realmente problemas e continue os testes manuais todas as vezes.""",
34,Accessibility Insights Microsoft," ""Without special tools, testing reflow is a tedious process."" ""If we follow Accessibility Insights’ recommendation and change our display resolution, we have to deal with all our apps resizing and our multi-monitor flows breaking...""
 ""Sem ferramentas especiais, testar o reflow é um processo tedioso.""  ""Se seguirmos a recomendação do Accessibility Insights e alterarmos a resolução da nossa tela, teremos que lidar com o redimensionamento de todos os nossos aplicativos e com a interrupção dos nossos fluxos de múltiplos monitores...""
","Desempenho e eficiência operacional, Compatibilidade e integração"
34,Web Developer by Chris," ""However, the extension only knows the window’s outer size (including UI like the address bar). Additionally, it can’t account for the browser’s zoom.""
""No entanto, a extensão conhece apenas o tamanho externo da janela (incluindo a interface do usuário, como a barra de endereço). Além disso, ela não consegue levar em conta o zoom do navegador.""",Cobertura limitada da implementação
35,Accessible color palette builder,não informado,
35,Cloudflare Design Color tool,não informado,
35,ColorSafe,não informado,
35,DVCP (Data Viz Color Picker),não informado,
35,ACG (Accessible Color Generator),não informado,
35,Colorable,não informado,
35,Contrast Checker ,"""Note: you may need to refresh multiple times in order to wake up the project if it went inactive."" ""Nota: você pode precisar atualizar várias vezes para 'acordar' o projeto se ele ficou inativo.""",Desempenho e eficiência operacional
35,Tanaguru Contrast-Finder,não informado,
35,Contrast Grid,não informado,
35,Contraste,não informado,
35,Deque Color Contrast Analyzer,não informado,
35,Colour Contrast Analyser (CCA) - Vispero,não informado,
35,Hex Naw,não informado,
35,Color Tool (Material Design),não informado,
35,"Color contrast checker, analyzer and color suggestions",não informado,
35,Randoma11y,não informado,
35,Contrast for UI,não informado,
35,WebAIM Contrast Checker,não informado,
35,Color Oracle,não informado,
35,Toptal Color Blind Filter,não informado,
35,Who can use,não informado,
35,Able (Plugin),não informado,
35,Cluse (Plugin),não informado,
35,Color Blind (Plugin),não informado,
35,Accessible Brand Colors,não informado,
35,Colors that look and work great for everyone,não informado,
35,Colors — A nicer color palette for the web,não informado,
35,Stark Plugin,não informado,
36,Accessible Design Principles (POUR),não informado,
36,Instant Eyedropper,não informado,
36,WebAIM Contrast Checker,não informado,
36,Web Developer Toolbar por Chris Pederick,não informado,
36,Temi,não informado,
36,Word ,não informado,
36,Box,não informado,
37,Árvore de acessibilidade,"""...different technologies will interpret the tree in different ways, sometimes, so you can’t always rely on the aria-label being the only thing read out. Some tech will... ignore the label altogether for certain elements.""
""...tecnologias diferentes interpretarão a árvore de maneiras diferentes, às vezes, então você nem sempre pode confiar que o aria-label será a única coisa lida. Algumas tecnologias vão... ignorar o rótulo completamente para certos elementos.""
",Dependência de validação/intervenção humana
38, web Wix ,não informado,
39,NVDA,não informado,
39,Axe DevTools,não informado,
39,MDN Docs,não informado,
39,Lighthouse,não informado,
39,A11y (Accessibility) - Guideline,não informado,
40,Práticas de design de aplicativos IOS acessíveis (Metodologia),não informado,
41,WAVE,não informado,
41,Tenon,não informado,
41,Lighthouse,não informado,
41,Axe DevTools,não informado,
41,SiteImprove,não informado,
42,Tenon,não informado,
42,JAWS Screen Reader,não informado,
42,IBM Content Clarifier,não informado,
43,Práticas para melhorar a acessibilidade,não informado,
43,Contrast Ratio,não informado,
43,Color Tool (Material Design),não informado,
43,Colorblind Web Page Filter ,não informado,
43,Coblis - Color Blindness Simulator,não informado,
43,Color Oracle,não informado,
43,JAWS Screen Reader,não informado,
43,ChromeVox,não informado,
43,NVDA,não informado,
43,Projeto DOSVOX,não informado,
